,userId,gender,age,occupation,zipCode,age_group
5529,5530,Female,18,4,63141,Teenager (0-20 years)
710,711,Male,25,18,80521,Young (21-40 years)
4923,4924,Female,35,0,99801,Young (21-40 years)
2153,2154,Male,25,12,68508,Young (21-40 years)
1272,1273,Male,35,2,19123,Young (21-40 years)
2316,2317,Female,45,9,57108,Adult (41-60 years)
2094,2095,Male,56,13,58504,Adult (41-60 years)
3127,3128,Male,18,2,10012,Teenager (0-20 years)
742,743,Female,1,2,60660,Teenager (0-20 years)
296,297,Male,18,2,97211,Teenager (0-20 years)
3694,3695,Male,25,2,98502,Young (21-40 years)
1142,1143,Male,50,7,94024,Adult (41-60 years)
408,409,Male,18,12,55122,Teenager (0-20 years)
5285,5286,Male,45,16,97068,Adult (41-60 years)
3949,3950,Male,25,4,60056,Young (21-40 years)
1620,1621,Male,25,4,11423,Young (21-40 years)
2053,2054,Male,25,12,03110,Young (21-40 years)
5593,5594,Female,45,0,55419,Adult (41-60 years)
5758,5759,Female,25,1,08904,Young (21-40 years)
865,866,Male,1,10,08820,Teenager (0-20 years)
805,806,Male,35,0,34990,Young (21-40 years)
655,656,Female,45,16,92106,Adult (41-60 years)
4817,4818,Female,25,17,91007,Young (21-40 years)
2515,2516,Female,45,6,37909,Adult (41-60 years)
5670,5671,Male,25,1,02146,Young (21-40 years)
23,24,Female,25,7,10023,Young (21-40 years)
1421,1422,Male,35,17,55934,Young (21-40 years)
5654,5655,Female,25,6,77054,Young (21-40 years)
5255,5256,Male,25,16,30269,Young (21-40 years)
2436,2437,Male,25,4,22923,Young (21-40 years)
4160,4161,Male,45,0,90404,Adult (41-60 years)
1630,1631,Female,50,0,94514,Adult (41-60 years)
2517,2518,Male,25,7,11793,Young (21-40 years)
3585,3586,Male,35,20,60640,Young (21-40 years)
2857,2858,Female,1,10,72601,Teenager (0-20 years)
5385,5386,Male,25,14,60045,Young (21-40 years)
5634,5635,Female,35,9,06854,Young (21-40 years)
4489,4490,Male,35,5,70123,Young (21-40 years)
4742,4743,Male,56,13,63122,Adult (41-60 years)
2966,2967,Male,25,0,94110,Young (21-40 years)
254,255,Male,35,0,85310,Young (21-40 years)
2549,2550,Male,50,7,37931,Adult (41-60 years)
1193,1194,Female,25,1,95617,Young (21-40 years)
221,222,Male,25,1,55116,Young (21-40 years)
1741,1742,Male,25,15,08109,Young (21-40 years)
4248,4249,Female,18,17,65203,Teenager (0-20 years)
4220,4221,Male,35,4,53818,Young (21-40 years)
1161,1162,Female,35,0,97213,Young (21-40 years)
1400,1401,Female,18,1,94578,Teenager (0-20 years)
4351,4352,Male,18,4,11010,Teenager (0-20 years)
881,882,Male,18,2,01720,Teenager (0-20 years)
5672,5673,Female,35,1,55417,Young (21-40 years)
4795,4796,Male,35,7,98103,Young (21-40 years)
565,566,Male,25,17,92122,Young (21-40 years)
755,756,Male,35,0,90064,Young (21-40 years)
2499,2500,Male,56,1,29672,Adult (41-60 years)
3693,3694,Male,25,12,28227,Young (21-40 years)
1876,1877,Female,45,20,90069,Adult (41-60 years)
79,80,Male,56,1,49327,Adult (41-60 years)
2337,2338,Male,45,17,13152,Adult (41-60 years)
5590,5591,Male,18,0,10009,Teenager (0-20 years)
2803,2804,Female,35,0,46234,Young (21-40 years)
763,764,Male,18,20,85296,Teenager (0-20 years)
1599,1600,Male,35,7,08234,Young (21-40 years)
2288,2289,Female,50,1,52002,Adult (41-60 years)
5261,5262,Female,25,14,46220,Young (21-40 years)
5025,5026,Male,25,17,92584,Young (21-40 years)
1883,1884,Male,45,20,93108,Adult (41-60 years)
4732,4733,Male,18,18,52301,Teenager (0-20 years)
2191,2192,Female,25,0,27713,Young (21-40 years)
5623,5624,Male,25,7,19380,Young (21-40 years)
2299,2300,Male,56,13,49423,Adult (41-60 years)
167,168,Female,50,0,46970,Adult (41-60 years)
3250,3251,Male,35,17,15330,Young (21-40 years)
5251,5252,Male,25,20,60622,Young (21-40 years)
3450,3451,Female,25,11,94117,Young (21-40 years)
